eastings,northings,height
176540.1994,397525.5314,26.264
176543.0104,397527.5596,25.991
176528.2422,397537.2311,26.29
176527.248,397540.2346,26.434
176529.5965,397541.6813,25.821
176532.3949,397539.0435,25.833
176538.3307,397539.5025,25.477
176544.3599,397540.9865,25.924
176549.5957,397542.5071,25.162
176552.79,397543.0113,25.716
176557.4523,397544.1694,25.315
176560.089,397544.3004,24.919
176565.3086,397545.0514,25.094
176568.197,397546.1425,25.474
176570.2706,397546.8896,25.164
176569.8327,397548.7102,25.558
176569.3767,397552.2198,25.532
176572.0189,397543.7661,25.767
176572.5989,397541.5002,25.414
176576.8688,397541.5032,24.927
176579.1481,397540.1592,24.963
176580.1706,397539.4012,24.943
176579.7,397537.4559,24.843
176579.1535,397537.574,25.296
176579.7747,397537.3964,25.3
176578.7496,397535.7012,24.635
176577.5562,397534.9472,25.007
176578.7216,397534.0495,24.817
176580.6154,397534.0867,24.817
176581.8116,397535.4913,24.839
176582.1547,397537.1357,24.916
176581.4316,397538.8057,24.944
176583.7839,397539.0342,25.213
176585.3204,397540.6945,25.345
176587.4913,397543.2752,25.384
176589.9991,397546.9056,25.288
176580.348,397547.855,24.511
176589.7453,397546.7334,25.31
176588.0665,397544.0135,25.369
176593.5726,397545.8937,24.817
176596.5964,397545.2255,24.345
176599.0965,397544.7543,24.753
176598.1683,397541.3684,24.843
176595.5776,397537.837,25.01
176593.1495,397534.5767,24.957
176590.4231,397531.5806,24.99
176599.2761,397542.2489,23.639
176602.6149,397541.4492,24.062
176610.8301,397540.9544,23.61
176618.6892,397540.0301,23.221
176623.0237,397539.5763,22.973
176618.9176,397550.4805,23.19
176609.6585,397550.8314,24.243
176608.5563,397552.7077,24.486
176607.5073,397552.9955,24.721
176604.8545,397551.7103,24.432
176604.8545,397551.7103,24.432
176601.3299,397552.0133,24.155
176595.4203,397552.5945,25.08
176591.1368,397553.3751,24.7
176586.6004,397554.0389,24.672
176586.066,397555.2343,24.881
176586.3827,397557.941,24.735
176585.3359,397554.6008,24.655
176583.9522,397555.2421,24.609
176579.5601,397556.253,24.492
176577.4306,397556.6541,24.503
176570.1799,397557.9164,25.736
176570.0669,397558.0845,25.852
176569.3321,397561.1372,25.156
176567.0934,397562.0449,24.763
176565.2266,397559.3613,24.649
176565.6584,397552.3973,25.201
176560.3452,397554.7199,24.978
176555.2799,397553.4104,25.319
176555.1728,397552.0444,25.587
176556.282,397551.4636,25.766
176554.1247,397552.7595,25.178
176544.7579,397550.8274,25.324
176538.1715,397549.8647,25.649
176538.0254,397548.9894,26.084
176540.0202,397544.5867,26.168
176534.9835,397546.8839,25.896
176532.9535,397546.599,25.572
176527.9039,397547.0914,25.782
176527.8395,397549.874,25.858
176527.0475,397552.5569,26.223
176527.7207,397553.235,25.916
176522.6241,397551.5416,25.548
176523.9778,397552.0121,25.995
176524.779,397546.6801,25.722
176524.0204,397546.3356,25.552
176525.2666,397543.915,26.27
176526.6701,397541.2548,26.551
176526.621,397540.1619,26.424
176519.4313,397545.3081,25.875
176518.3544,397546.4385,25.741
176515.8801,397546.2434,26.171
176515.3651,397545.9571,26.141
176513.7246,397547.9808,25.562
176514.1134,397542.8181,25.898
176511.1534,397542.1325,25.815
176507.1683,397541.3797,25.713
176499.8568,397538.7878,25.411
176499.2105,397536.7329,25.243
176500.0571,397533.879,25.771
176498.2067,397532.8901,25.697
176493.9715,397531.8011,24.899
176496.0834,397540.0107,25.542
176495.6086,397542.895,25.363
176493.4303,397542.7399,25.044
176487.0751,397540.3963,24.307
176477.91,397539.0421,23.85
176483.8316,397527.8474,24.297
176490.0917,397530.4868,24.691
176473.3407,397550.8913,23.42
176482.009,397553.7111,24.088
176490.4974,397556.7292,24.916
176495.109,397557.5219,25.613
176496.2347,397557.5793,25.632
176495.9348,397558.6102,25.559
176502.1359,397558.3514,25.012
176506.6306,397559.3741,25.676
176509.0502,397559.5737,25.447
176514.6962,397560.1652,25.19
176515.4593,397560.3368,25.194
176524.0084,397560.9306,25.45
176524.9326,397556.7825,26.32
176521.9594,397563.9433,25.986
176519.7512,397567.5241,26.041
176523.1889,397570.0224,25.425
176525.1481,397566.048,25.569
176527.3688,397562.4514,25.525
176530.6956,397563.3269,25.245
176532.6949,397563.9313,25.85
176534.4925,397564.6416,25.422
176539.3568,397565.3455,25.179
176541.3809,397565.6739,25.561
176545.4638,397567.7391,24.841
176547.2243,397564.5465,25.035
176545.0588,397562.8039,25.574
176547.4424,397560.2065,25.502
176546.5311,397557.5146,25.261
176550.8025,397556.6921,25.018
176552.6987,397562.0223,24.796
176549.7074,397569.3032,24.828
176549.5509,397570.6376,24.467
176548.8724,397572.5671,24.792
176547.6397,397572.6902,24.613
176547.386,397575.5171,24.187
176552.0608,397573.9653,24.204
176552.0722,397569.7532,24.437
176560.9981,397571.5665,24.28
176566.4508,397572.0781,24.485
176570.0033,397572.1195,24.635
176569.2585,397568.1441,24.435
176571.1952,397565.122,24.709
176575.3171,397564.3562,24.416
176577.0793,397566.0381,24.141
176578.7116,397569.4125,23.952
176582.3088,397576.2813,23.725
176585.4308,397578.7638,23.321
176584.0306,397581.3376,23.736
176577.2636,397579.6478,24.877
176576.4967,397580.5705,24.706
176575.4112,397583.237,24.385
176573.5486,397585.2028,24.542
176572.1223,397585.5388,24.442
176568.7642,397587.6402,24.63
176560.5953,397582.9501,24.1
176560.9662,397581.4113,24.023
176563.0122,397576.3053,24.235
176568.0972,397579.9354,25.637
176568.1685,397580.0787,25.534
176568.4185,397580.3506,25.594
176567.3065,397583.7608,25.093
176574.1178,397586.8671,24.287
176575.5366,397586.1356,24.417
176582.4078,397577.4384,23.699
176577.6216,397578.9764,24.862
176574.1281,397576.0701,25.14
176573.6106,397572.3697,24.959
176573.6106,397572.3697,24.959
176573.2643,397567.983,25.154
176582.1102,397568.7877,23.984
176581.0129,397566.6478,24.117
176586.3361,397560.6854,24.934
176589.343,397559.6364,24.679
176590.0758,397559.2949,24.539
176593.4787,397561.6911,24.298
176591.3223,397563.3685,24.895
176592.2993,397565.2742,24.573
176597.4692,397561.601,24.293
176599.6762,397560.1409,24.65
176602.8914,397558.5442,24.187
176608.7997,397556.6799,24.029
176615.8183,397556.5581,23.199
176610.1488,397564.9673,23.229
176605.2719,397571.0568,23.147
176605.0863,397571.4119,23.195
176603.7671,397574.13,23.609
176601.9165,397573.694,23.966
176597.4972,397574.7102,23.68
176598.0185,397571.2991,24.324
176596.387,397568.8089,24.54
176593.1892,397567.2791,24.669
176590.3112,397574.6835,23.603
176588.9437,397583.0413,23.326
176596.0014,397586.5399,22.579
176605.6905,397577.486,22.857
176585.8891,397584.1985,23.588
176581.0119,397583.9334,23.966
176580.1174,397584.7749,24.158
176579.136,397588.8355,24.182
176577.2979,397588.6364,24.41
176574.6616,397589.612,24.135
176571.1957,397589.7515,24.213
176571.6103,397594.4113,23.547
176570.0704,397592.2096,24.303
176565.7941,397589.7496,25.578
176561.9748,397588.4615,24.688
176559.5466,397588.0964,23.939
176555.5546,397587.1467,23.978
176554.2425,397583.8201,24.699
176556.8727,397583.9356,24.116
176551.0311,397581.3145,24.163
176546.7001,397579.9974,24.296
176548.637,397573.5227,24.741
176548.8838,397572.6018,24.902
176538.4422,397575.5626,24.718
176534.2227,397574.0721,25.081
176535.6804,397571.3498,25.546
176536.9419,397568.3133,24.997
176532.9454,397569.3386,25.078
176532.1862,397567.1463,25.071
176532.078,397566.6524,25.139
176529.9183,397571.0371,25.069
176528.393,397573.2711,25.093
176530.2653,397576.0398,25.546
176533.3529,397579.6143,24.863
176527.1846,397579.4571,24.96
176526.9306,397574.7987,25.176
176526.9275,397573.8206,25.373
176524.4935,397571.4183,25.289
176520.6686,397568.0927,25.802
176518.3774,397568.7744,25.602
176520.7801,397566.089,25.84
176521.8722,397564.5938,26.125
176523.5481,397562.0919,25.519
176518.4851,397562.0293,25.34
176520.5713,397555.624,25.369
176523.7931,397556.1488,26.23
176513.6445,397560.4742,25.405
176508.3534,397556.9046,25.728
176507.1702,397559.2048,25.694
176506.5299,397561.9249,25.373
176508.0084,397563.5845,25.753
176512.0431,397565.1621,25.475
176508.8481,397567.2457,25.341
176505.264,397562.4838,25.253
176504.154,397560.5981,25.026
176507.2239,397557.6226,25.56
176503.1001,397557.9058,24.949
176500.9849,397557.7354,24.992
176496.1999,397556.9271,25.561
176493.9127,397556.61,25.534
176485.1462,397554.197,24.428
176476.6214,397551.3224,23.621
176479.8119,397542.269,24
176496.4198,397550.6805,25.636
176471.6745,397558.37,23.319
176483.2905,397560.5567,24.079
176494.278,397562.9829,24.828
176491.596,397564.1929,25.069
176490.5901,397565.5191,24.901
176488.1407,397563.9181,24.415
176487.0606,397565.6753,24.336
176484.9603,397569.3759,24.333
176483.504,397573.4811,24.024
176484.5911,397575.8625,24.098
176487.0909,397576.9517,24.134
176492.7845,397577.6535,24.388
176493.0303,397573.373,24.548
176488.9,397571.8712,24.717
176488.1438,397571.6305,25.077
176488.1867,397571.2796,25.134
176495.0613,397566.6958,24.63
176500.5082,397568.0354,24.805
176507.1899,397567.059,25.529
176507.2158,397567.7731,25.855
176508.1959,397570.3373,25.568
176507.4797,397570.2645,25.791
176507.6303,397572.172,25.482
176506.4007,397573.1686,25.649
176504.5045,397574.9395,25.425
176503.4949,397576.2906,25.536
176499.2659,397575.6218,25
176503.4565,397572.4067,25.588
176508.2155,397581.3328,25.585
176507.3379,397582.1589,25.19
176512.9359,397582.2517,24.943
176511.0527,397579.416,25.401
176513.7641,397572.7017,25.918
176514.7336,397572.839,25.782
176516.7715,397573.9547,25.322
176516.0522,397569.8888,25.976
176522.0712,397577.0816,25.477
176522.0152,397577.5239,25.517
176520.0311,397579.9904,25.65
176520.2202,397580.0552,25.834
176522.0112,397580.723,25.414
176523.7662,397576.9237,25.446
176526.3532,397583.2086,24.746
176530.0015,397577.5863,25.52
176528.5988,397586.2672,24.613
176528.8214,397587.0692,24.779
176528.557,397588.1174,24.722
176529.4478,397588.4812,24.644
176531.2341,397587.4923,24.784
176531.8754,397587.4695,24.571
176533.6881,397588.1515,24.439
176537.8428,397590.5007,25.386
176546.8946,397584.002,24.408
176540.6321,397583.7408,24.267
176551.6411,397583.2112,24.298
176553.6832,397583.3039,24.887
176556.4282,397584.2031,24.149
176558.9443,397584.5985,23.95
176564.9748,397588.8879,25.412
176564.9589,397591.5891,25.072
176563.8762,397594.2186,24.727
176563.1878,397595.6846,24.773
176561.0571,397601.0677,23.479
176564.7586,397604.4949,22.78
176571.9792,397606.9506,22.55
176577.5326,397602.8748,22.737
176569.4944,397598.6653,23.71
176565.1783,397605.1808,22.929
176568.712,397614.8517,22.13
176564.0656,397608.3987,22.753
176558.3046,397599.4025,23.657
176554.1372,397590.289,23.911
176551.0435,397584.5495,24.413
176546.9135,397577.81,24.313
176546.5656,397577.5865,24.254
176540.9915,397570.9339,24.7
176537.1205,397566.6749,25.037
176533.636,397564.2671,25.862
176533.0418,397560.9913,25.307
176528.2023,397556.8291,25.727
176546.5299,397590.9358,25.232
176546.3066,397592.8907,25.197
176545.5528,397596.2038,24.475
176548.6353,397600.3419,24.058
176550.7488,397598.0944,24.581
176554.9846,397598.8788,23.56
176555.5722,397604.3597,24.037
176552.7593,397607.6681,23.815
176562.4104,397615.0155,22.3
176554.232,397608.2622,23.571
176548.4549,397603.5465,24.926
176546.6549,397606.3237,24.811
176543.7458,397608.462,24.29
176542.129,397609.9586,24.507
176542.0396,397613.8494,23.527
176536.65,397615.6628,23.691
176535.3694,397615.1124,23.927
176555.6433,397628.7042,21.856
176555.0801,397624.7867,22.367
176553.2221,397621.882,21.786
176557.7037,397621.1427,22.116
176556.1728,397615.9956,22.112
176555.8598,397615.4584,21.936
176553.4349,397611.6858,23.447
176529.2932,397614.1972,23.513
176499.4584,397624.6202,22.325
176502.9985,397618.1779,22.645
176503.6346,397616.0737,23.237
176504.3167,397611.9445,23.488
176505.7027,397602.9788,24.533
176507.0509,397601.0091,24.488
176509.3869,397595.9239,24.439
176511.2714,397590.3911,24.565
176517.1552,397590.6734,24.819
176515.9568,397595.3496,24.919
176514.8715,397599.0743,25.092
176511.2378,397607.5336,25.443
176516.0434,397609.4355,24.421
176515.6486,397603.466,24.883
176515.2694,397603.2608,25.29
176516.1059,397603.4754,25.502
176517.6434,397598.602,24.38
176513.7367,397595.7456,24.48
176513.7975,397594.582,24.4
176515.5095,397593.1372,24.457
176516.4934,397594.0032,24.776
176519.7495,397592.0303,24.4
176523.4466,397589.5257,24.386
176529.3652,397585.4111,24.498
176533.045,397585.7624,24.616
176540.7922,397587.9672,25.044
176547.6766,397589.2272,24.494
176547.6654,397590.6754,25.209
176547.1705,397592.0987,25.086
176546.9469,397593.0038,25.17
176546.1068,397595.3169,24.629
176547.8841,397595.6518,24.406
176549.1133,397594.6793,24.315
176545.3172,397598.9581,24.367
176544.1162,397600.8003,24.928
176545.7584,397602.1853,24.473
176548.0459,397603.2246,24.865
176547.5323,397605.297,24.591
176546.9194,397606.1855,24.739
176546.9194,397606.1855,24.739
176546.6957,397608.0419,24.571
176547.2624,397612.7065,23.764
176540.9298,397609.5501,24.746
176537.0526,397608.2015,24.207
176531.2991,397605.5052,24.26
176529.9719,397605.0703,24.47
176528.7895,397604.3745,24.833
176525.4115,397608.0479,24.296
176523.8759,397607.1864,23.829
176524.4167,397606.7506,23.906
176526.2934,397604.0336,23.796
176527.2304,397599.7979,24.808
176528.7347,397590.1326,24.207
176526.4953,397591.2163,24.5
176519.2792,397594.2921,24.552
176517.8444,397594.7766,24.801
176514.5142,397598.5096,25.129
176501.5728,397623.1748,22.063
176500.1602,397623.2869,22.408
